harbison_locus_tag,curr_notation
YAR044W,YAR042W
YAR062W,YAR061W
YBR075W,YBR074W
YBR100W,YBR098W
YDL038C,YDL039C
YDR474C,YDR475C
YER060w-A,YER060W-A
YFL006W,YFL007W
YFL057C,YFL056C
YGL046W,YGL045W
YGR272C,YGR271C-A
YIL080W,YIL082W-A
YIL168W,YIL167W
YJL017W,YJL016W
YJL018W,YJL019W
YJL205C-A,YJL205C
YKL199C,YKL198C
YOR088W,YOR087W
YOR240W,YOR239W
YPR090W,YPR089W
YAL035C-A,YAL034C-B
YAL043C-A,YAL042C-A
YAL058C-A,YAL056C-A
YBL101W-A,YBL100W-A
YBL101W-B,YBL100W-B
YCL012W,YCL014W
YCR062W,YCR061W
YDR210W-C,YDR210C-C
YDR210W-D,YDR210C-D
YEL076W-C,YEL075W-A
YFL043C,YFL042C
YFR024C,YFR024C-A 
YIL015C-A,YIL014C-A
YJL021C,YJL020C
YML010C-B,YML009C-A
YML010W-A,YML009W-B
YML013C-A,YML012C-A
YML035C-A,YML034C-A
YML048W-A,YML047W-A
YML058C-A,YML057C-A
YML095C-A,YML094C-A
YML102C-A,YML101C-A
YML117W-A,YML116W-A
YMR158W-A,YMR158W-B
YOR343C-A,YOR343W-A
YOR343C-B,YOR343W-B
