target_gene,locus_tag
YIL080W,YIL082W-A
YFL043C,YFL042C
YJL018W,YJL019W
YJL017W,YJL016W
YJL021C,YJL020C
YCL012W,YCL014W
YKL199C,YKL198C
YGL046W,YGL045W
YBR100W,YBR098W
YDR474C,YDR475C
YBR075W,YBR074W
YDL038C,YDL039C
YBL101W-B,YBL100W-B
YML010C-B,YML009C-A
YBL101W-A,YBL100W-A
YCR062W,YCR061W
YOR240W,YOR239W
YFR024C,YFR024C-A 
YKL158W,YKL157W
YIL168W,YIL167W
YDR210W-D,YDR210C-D
YFL006W,YFL007W
YAR044W,YAR042W
YDR210W-C,YDR210C-C
YOR088W,YOR087W
YOR343C-B,YOR343W-B
YGR272C,YGR271C-A
YJL205C-A,YJL205C
YOR343C-A,YOR343W-A
