tf,locus_tag
ATG6,YPL120W
SHA3,YPL026C
CAF17,YJR122W
YIL014C,YIL014C-A
KEM1,YGL173C
YOL086W,YOL086W-A
NOT4,YER068W
RIS1,YOR191W
MED5,YGL151W
ATG24,YJL036W
MED3,YGL025C
CSN12,YJR084W
CHF2,YNL116W
FRA2,YGL220W
MED12,YCR081W
FMP38,YOR205C
AIM1,YAL046C
MED18,YGR104C
HPA1,YPL086C
CHF1,YHR115C
MUC1,YIR019C
KRH2,YOR371C
SET7,YDR257C
MED15,YOL051W
MED16,YNL236W
MED9,YNR010W
ABC1,YGL119W
CTH2,YLR136C
HPR5,YJL092W
MED13,YDR443C
CAC1,YPR018W
KRH1,YAL056W
YDR034W,YDR034W-B
SSN6,YBR112C
YAL044W,YAL044W-A
MED31,YGL127C
MED20,YHR041C
CDK8,YPL042C
HSN1,YHR127W
CYCC,YNL025C
CAP,YOR276W
